team,player,pos,gp,gs,min,pts,or,dr,reb,ast,stl,blk,to,pf,ast/to
NY,Jose Alvarado,N/A,15,0,16.7,6.1,0.3,1.7,2.1,3.7,1.2,0.1,0.9,1.7,4.3
NO,Yves Missi,C,54,8,18.7,5.5,2.8,2.7,5.5,1.1,0.3,1.4,0.8,1.6,1.5
NO,Karlo Matkovic,F,53,2,13.9,5.4,1.1,2.4,3.5,0.8,0.4,0.9,0.5,1.7,1.6
NO,DeAndre Jordan,C,10,6,16.3,4.1,2.1,4.3,6.4,0.8,0.3,0.8,0.9,1.4,0.9
NO,Micah Peavy,G,51,1,13.8,4.0,0.7,1.1,1.8,0.9,0.6,0.1,0.3,1.4,3.4
NO,Jordan Hawkins,G,42,0,12.3,3.8,0.3,1.2,1.5,0.6,0.2,0.2,0.5,0.5,1.2
NO,Kevon Looney,F,18,6,13.9,2.9,2.3,3.0,5.3,1.4,0.3,0.5,0.4,1.8,3.1
NO,Trey Alexander,G,5,0,8.4,2.8,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.8,5.0
NO,Hunter Dickinson,C,1,0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
NY,Jalen Brunson,G,62,62,34.8,26.2,0.5,3.0,3.5,6.5,0.7,0.1,2.3,2.3,2.8
NY,Karl-Anthony Towns,C,63,63,31.3,20.0,3.0,8.8,11.9,2.9,0.9,0.6,2.5,3.6,1.2
NY,OG Anunoby,F,53,53,33.2,16.6,1.4,3.9,5.2,2.2,1.7,0.7,1.9,2.5,1.1
NY,Mikal Bridges,G,67,67,33.6,15.0,1.0,3.1,4.1,3.9,1.4,0.8,1.0,2.0,3.8
NY,Miles McBride,G,35,14,28.0,12.9,0.6,2.0,2.6,2.8,0.9,0.2,0.8,1.8,3.5
NY,Josh Hart,G,54,40,30.0,11.8,1.5,6.1,7.6,5.1,1.1,0.3,2.0,2.5,2.6
NY,Landry Shamet,G,42,10,22.8,10.0,0.4,1.4,1.8,1.5,0.5,0.2,0.6,1.6,2.6
NY,Jordan Clarkson,G,57,1,17.8,8.9,0.8,0.9,1.7,1.3,0.4,0.1,1.0,1.8,1.3
NY,Mitchell Robinson,C,48,14,19.3,5.2,4.3,4.3,8.6,1.0,0.8,1.1,0.6,2.2,1.5
NY,Tyler Kolek,G,55,1,12.0,4.4,0.3,1.4,1.7,2.8,0.3,0.1,1.0,1.1,2.9
NY,Mohamed Diawara,F,56,6,8.4,3.5,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.8,1.5
NY,Ariel Hukporti,C,47,4,8.9,1.9,1.0,1.9,2.8,0.5,0.2,0.5,0.6,1.2,0.9
NY,Kevin McCullar Jr.,G,19,0,6.7,1.8,0.5,0.8,1.3,1.0,0.3,0.0,0.6,0.9,1.6
NY,Dillon Jones,F,5,0,4.8,1.4,0.4,0.8,1.2,0.8,0.4,0.0,0.0,0.8,INF
NY,Jeremy Sochan,N/A,10,0,5.3,1.3,0.2,1.0,1.2,0.5,0.5,0.1,0.2,0.4,2.5
NY,Pacome Dadiet,F,22,0,3.6,1.1,0.1,0.6,0.8,0.4,0.1,0.0,0.0,0.1,9.0
NY,Trey Jemison IIIF,N/A,11,0,5.5,0.8,0.7,0.7,1.5,0.3,0.1,0.2,0.5,0.8,0.5
NY,Tosan Evbuomwan,F,5,0,1.6,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0
OKC,Shai Gilgeous-Alexander,G,55,55,33.6,31.8,0.5,4.0,4.5,6.6,1.4,0.8,2.1,2.0,3.1
OKC,Jalen Williams,G,26,26,29.0,17.5,0.7,4.0,4.7,5.4,1.3,0.3,1.9,2.1,2.8
OKC,Chet Holmgren,C,57,57,29.3,17.2,1.9,7.1,9.0,1.7,0.5,1.9,1.6,2.3,1.1
OKC,Ajay Mitchell,G,45,10,26.4,14.3,0.7,2.8,3.4,3.7,1.4,0.3,1.5,2.1,2.4
OKC,Jared McCain,N/A,15,0,18.7,11.2,0.7,1.7,2.5,0.9,0.6,0.0,1.1,1.5,0.8
OKC,Isaiah Joe,G,58,9,21.9,10.9,0.5,2.2,2.6,1.4,0.7,0.2,0.6,1.8,2.4
OKC,Isaiah Hartenstein,C,36,35,25.4,10.2,3.2,6.1,9.2,3.5,1.0,0.8,1.9,2.7,1.9
OKC,Aaron Wiggins,G,52,18,23.3,10.2,0.7,2.7,3.3,1.8,1.0,0.5,1.3,1.4,1.4
OKC,Cason Wallace,G,64,54,27.3,8.7,0.8,2.3,3.1,2.7,2.0,0.3,1.0,2.1,2.6
OKC,Luguentz Dort,G,56,56,28.1,8.6,0.9,3.0,3.9,1.3,0.8,0.4,0.8,2.9,1.6
OKC,Jaylin Williams,F,52,11,20.5,7.5,0.5,5.0,5.5,2.6,0.5,0.7,1.2,2.0,2.2
OKC,Kenrich Williams,G,45,2,15.8,6.6,1.0,2.3,3.2,1.4,0.5,0.1,0.8,1.1,1.9
OKC,Alex Caruso,G,44,0,18.5,6.5,0.6,2.1,2.7,2.0,1.4,0.3,0.9,1.2,2.3
OKC,Branden Carlson,C,35,2,10.7,4.9,0.7,1.9,2.6,0.6,0.2,0.5,0.4,0.9,1.6
OKC,Nikola Topic,G,5,0,10.6,3.2,0.4,1.2,1.6,2.0,0.0,0.0,2.2,0.8,0.9
OKC,Chris Youngblood,G,32,0,5.4,2.0,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.6,5.5
OKC,Buddy Boeheim,F,4,0,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
OKC,Brooks Barnhizer,F,33,0,7.8,1.4,0.3,1.4,1.7,0.5,0.2,0.1,0.2,0.6,2.3
ORL,Paolo Banchero,F,55,55,34.9,22.2,1.1,7.5,8.6,5.0,0.6,0.6,2.9,1.9,1.7
